residue	time_spent
678888809774761	24.304000
1697865198360960	15.619000
3791197500070027	15.110000
226951255154689	14.214000
8569652931394510	14.443000
304084874559628	14.563000
1403265796083561	15.276000
5331945737475501	15.215000
2276640076161637	15.088000
550395770348509	15.438000
4230106220690969	15.356000
1042869385167989	13.490000
1112954935659897	13.406000
1323774230288440	13.493000
1227323919670162	14.062000
614393180916425	15.623000
1894646337356394	14.407000
1055110089760705	14.307000
571357440204377	14.258000
1038709692938190	13.961000
2822884744181305	16.961000
3123842870112281	13.882000
589619712509499	14.822000
1446310126679802	14.502000
4341015595182726	15.088000
1108438759951221	15.067000
503606213480004	15.163000
579152836418542	15.173000
520088215017289	15.339000
2184897068053035	15.599000
1477663510833370	14.891000
2989092038999215	15.338000
2250580259940210	15.239000
973864022984710	15.506000
598926943111107	15.698000
33696297704454	15.260000
652309300644945	14.430000
1910415371414926	15.189000
1387481729437804	15.245000
298417642960079	14.663000
3434395990899085	14.940000
180967007595408	15.631000
427700959461299	14.651000
1778933023237857	14.655000
352596719969403	15.283000
469448204908845	14.373000
414225446678475	15.502000
1905166901009134	14.998000
6531652909581858	15.042000
4556101956542809	15.470000
463630649050582	15.439000
663871397783005	16.421000
1839702753361619	14.834000
1595839998393805	14.908000
1260135450968733	14.783000
158268016745517	15.107000
125168721646501	15.123000
1983818797386913	15.728000
859615298478894	14.193000
1900502548256459	15.270000
6179726207199759	14.282000
2801923074258221	14.235000
112384701573168	14.269000
387630905297578	15.181000
1127613716403448	15.175000
1725512010931129	15.085000
710454795380940	15.142000
187813212406863	15.258000
2614496410655922	15.214000
1157609885412410	15.201000
1207513305789196	15.235000
5600899789489012	14.657000
4505592943491525	16.102000
304239493970539	14.320000
1884538092278380	14.203000
1360397559801945	13.523000
210950291652081	14.000000
100365188586140	14.089000
178828105612952	14.233000
970574065077779	14.249000
4229539282789369	14.699000
1925321113786414	14.735000
230166050545720	14.258000
459516054279904	14.429000
68352524566021	14.304000
189894132162752	14.287000
1086349656591849	14.777000
4353301397083314	16.369000
364158817107447	15.860000
2881504834635476	15.172000
2007939428058942	15.142000
996773468307751	14.406000
151597906433558	14.351000
1140436391518579	14.383000
506114484179343	14.275000
5859260263237675	14.216000
3941897754893290	14.531000
622525733407901	14.426000
517841938348217	15.381000
3936146771196182	15.415000
